"","file_id","genus","species","english_cname","who_provided_recording","country","latitude","longitute","type","license","fill"
"56",96133,"Corvus","corone","Carrion Crow","Herman van der Meer","Netherlands",52.123,4.338,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"57",27145,"Corvus","frugilegus","Rook","Patrik berg","Sweden",55.6289,13.7128,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"58",143002,"Corvus","frugilegus","Rook","Andre et Odile BOUCHER","France",45.398,4.2902,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"59",143005,"Corvus","frugilegus","Rook","Andre et Odile BOUCHER","France",45.398,4.2902,"Both","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"60",33392,"Cuculus","canorus","Common Cuckoo","Mark Harper","UK",53.2112,-1.0717,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"61",37447,"Cuculus","canorus","Common Cuckoo","David Farrow","UK",52.65806,1.051941,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"62",134671,"Cuculus","canorus","Common Cuckoo","Ashley Fisher","UK",49.9092,-6.3039,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","darkslategray1"
"63",42178,"Cyanistes","caeruleus","Eurasian Blue Tit","Stuart Fisher","UK",51.5501,0.0137,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"64",44203,"Cyanistes","caeruleus","Eurasian Blue Tit","Stuart Fisher","UK",51.5501,0.0137,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","darkslategray1"
"65",131316,"Cyanistes","caeruleus","Eurasian Blue Tit","Dan Stowell","UK",51.5934,0.0256,"Song","http://creativecommons.org/licenses/by-sa/3.0/","darkslategray1"
"66",142697,"Delichon","urbicum","Common House Martin","Fernand DEROUSSEN","France",42.5816,2.7787,"Both","http://creativecommons.org/licenses/by-nc-nd/3.0/","grey"
"67",148528,"Dendrocopos","major","Great Spotted Woodpecker","Stein . Nilsen","Norway",69.5778,18.6401,"Call","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"68",98172,"Dendrocopos","major","Great Spotted Woodpecker","Jelmer Poelstra","Sweden",60.297,16.913,"Else","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"69",72629,"Dendrocopos","major","Great Spotted Woodpecker","Volker Arnold","Germany",54.1498,9.2039,"Call","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"70",130426,"Dryocopus","martius","Black Woodpecker","Jelmer Poelstra","Sweden",60.2513,17.1808,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"71",98942,"Dryocopus","martius","Black Woodpecker","Filip Verbelen","Belgium",50.958,3.727,"Song","http://creativecommons.org/licenses/by-nc-nd/2.5/","grey"
"72",155975,"Dryocopus","martius","Black Woodpecker","Jack Berteau","France",46.5966,0.1988,"Song","http://creativecommons.org/licenses/by-nc-sa/3.0/","grey"
"73",123168,"Emberiza","calandra","Corn Bunting","david m","UK",54.1243,-0.557,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"74",125777,"Emberiza","calandra","Corn Bunting","david m","UK",54.1242,-0.5543,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
"75",123167,"Emberiza","calandra","Corn Bunting","david m","UK",54.1243,-0.557,"Song","http://creativecommons.org/licenses/by-nc-nd/3.0/","darkslategray1"
